version,qid,query,p@5,p@10,f1@30,"hm(p@5,f1@30)",n_rel,n_returned
BM25 only (no PageRank),1,Mount Everest climbing expeditions,0.2,0.2,0.13157894736842102,0.15873015873015872,46,100
BM25 only (no PageRank),2,Great Fire of London 1666,0.6,0.6,0.37681159420289856,0.4629080118694362,39,100
BM25 only (no PageRank),3,Nanotechnology materials science,0.6,0.4,0.2777777777777778,0.37974683544303794,42,100
BM25 only (no PageRank),4,Fossil fuels climate change,0.2,0.1,0.14285714285714288,0.1666666666666667,40,100
BM25 only (no PageRank),5,DNA double helix discovery,0.8,0.9,0.5070422535211268,0.6206896551724138,41,100
BM25 only (no PageRank),6,Printing press invention Gutenberg,1.0,1.0,0.46575342465753417,0.6355140186915887,43,100
BM25 only (no PageRank),7,Ancient Egypt pyramids pharaohs,0.0,0.1,0.125,0.0,50,100
BM25 only (no PageRank),8,Gothic literature Mary Shelley,0.8,0.6,0.3611111111111111,0.49760765550239233,42,100
BM25 only (no PageRank),9,Robotics automation industry,0.8,0.5,0.273972602739726,0.4081632653061224,43,100
BM25 only (no PageRank),10,Television invention broadcast media,0.0,0.0,0.025316455696202528,0.0,49,100
BM25 only (no PageRank),11,Wright brothers first flight,0.4,0.6,0.43243243243243246,0.4155844155844156,44,100
BM25 only (no PageRank),12,Steam locomotive transportation history,0.0,0.0,0.0,0.0,47,100
BM25 only (no PageRank),13,Currency history gold standard,0.2,0.1,0.20253164556962022,0.2012578616352201,49,100
BM25 only (no PageRank),14,Renaissance art Leonardo da Vinci,0.4,0.3,0.16,0.22857142857142856,45,100
BM25 only (no PageRank),15,Shakespeare plays Elizabethan theatre,0.2,0.3,0.2784810126582279,0.23280423280423282,49,100
BM25 only (no PageRank),16,Solar eclipse astronomy observation,0.8,0.5,0.18421052631578946,0.2994652406417112,46,100
BM25 only (no PageRank),17,Renaissance architecture Florence Italy,0.2,0.2,0.18421052631578946,0.1917808219178082,46,100
BM25 only (no PageRank),18,Impressionism Monet Renoir,0.4,0.6,0.463768115942029,0.4295302013422819,39,100
BM25 only (no PageRank),19,Samurai code Bushido Japan,0.8,0.6,0.3513513513513514,0.4882629107981221,44,100
BM25 only (no PageRank),20,Fossil record paleontology evidence,0.8,0.6,0.3380281690140845,0.4752475247524753,41,100
BM25 only (no PageRank),21,Silk Road trade cultural exchange,0.6,0.7,0.2857142857142857,0.3870967741935483,47,100
BM25 only (no PageRank),22,Industrial Revolution steam engines,0.6,0.4,0.21333333333333337,0.3147540983606558,45,100
BM25 only (no PageRank),23,Green Revolution agriculture yield,0.8,0.6,0.379746835443038,0.5150214592274679,49,100
BM25 only (no PageRank),24,Quantum computing future technology,0.2,0.1,0.11940298507462686,0.14953271028037382,37,100
BM25 only (no PageRank),25,Viking exploration North America,0.4,0.5,0.29333333333333333,0.3384615384615385,45,100
BM25 only (no PageRank),26,Roman aqueducts engineering innovation,0.4,0.2,0.10256410256410255,0.16326530612244897,48,100
BM25 only (no PageRank),27,Coffee history Ethiopia trade,0.8,0.5,0.30136986301369856,0.4378109452736318,43,100
BM25 only (no PageRank),28,Stonehenge prehistoric monument,0.8,0.9,0.43243243243243246,0.5614035087719298,44,100
BM25 only (no PageRank),29,Photography invention Daguerre,1.0,0.7,0.3888888888888889,0.56,42,100
BM25 only (no PageRank),30,Ballet origins France Russia,0.4,0.2,0.053333333333333344,0.09411764705882356,45,100
BM25 + PageRank (alpha=0.15),1,Mount Everest climbing expeditions,0.2,0.2,0.13157894736842102,0.15873015873015872,46,100
BM25 + PageRank (alpha=0.15),2,Great Fire of London 1666,0.6,0.6,0.37681159420289856,0.4629080118694362,39,100
BM25 + PageRank (alpha=0.15),3,Nanotechnology materials science,0.6,0.4,0.2777777777777778,0.37974683544303794,42,100
BM25 + PageRank (alpha=0.15),4,Fossil fuels climate change,0.2,0.2,0.14285714285714288,0.1666666666666667,40,100
BM25 + PageRank (alpha=0.15),5,DNA double helix discovery,0.8,0.9,0.5070422535211268,0.6206896551724138,41,100
BM25 + PageRank (alpha=0.15),6,Printing press invention Gutenberg,1.0,1.0,0.46575342465753417,0.6355140186915887,43,100
BM25 + PageRank (alpha=0.15),7,Ancient Egypt pyramids pharaohs,0.0,0.1,0.125,0.0,50,100
BM25 + PageRank (alpha=0.15),8,Gothic literature Mary Shelley,0.8,0.6,0.3611111111111111,0.49760765550239233,42,100
BM25 + PageRank (alpha=0.15),9,Robotics automation industry,0.8,0.5,0.273972602739726,0.4081632653061224,43,100
BM25 + PageRank (alpha=0.15),10,Television invention broadcast media,0.0,0.0,0.025316455696202528,0.0,49,100
BM25 + PageRank (alpha=0.15),11,Wright brothers first flight,0.4,0.6,0.43243243243243246,0.4155844155844156,44,100
BM25 + PageRank (alpha=0.15),12,Steam locomotive transportation history,0.0,0.0,0.0,0.0,47,100
BM25 + PageRank (alpha=0.15),13,Currency history gold standard,0.2,0.1,0.20253164556962022,0.2012578616352201,49,100
BM25 + PageRank (alpha=0.15),14,Renaissance art Leonardo da Vinci,0.4,0.3,0.16,0.22857142857142856,45,100
BM25 + PageRank (alpha=0.15),15,Shakespeare plays Elizabethan theatre,0.2,0.3,0.2784810126582279,0.23280423280423282,49,100
BM25 + PageRank (alpha=0.15),16,Solar eclipse astronomy observation,0.8,0.5,0.18421052631578946,0.2994652406417112,46,100
BM25 + PageRank (alpha=0.15),17,Renaissance architecture Florence Italy,0.4,0.2,0.18421052631578946,0.25225225225225223,46,100
BM25 + PageRank (alpha=0.15),18,Impressionism Monet Renoir,0.4,0.6,0.463768115942029,0.4295302013422819,39,100
BM25 + PageRank (alpha=0.15),19,Samurai code Bushido Japan,0.8,0.6,0.3513513513513514,0.4882629107981221,44,100
BM25 + PageRank (alpha=0.15),20,Fossil record paleontology evidence,0.8,0.6,0.3380281690140845,0.4752475247524753,41,100
BM25 + PageRank (alpha=0.15),21,Silk Road trade cultural exchange,0.6,0.7,0.2857142857142857,0.3870967741935483,47,100
BM25 + PageRank (alpha=0.15),22,Industrial Revolution steam engines,0.6,0.4,0.21333333333333337,0.3147540983606558,45,100
BM25 + PageRank (alpha=0.15),23,Green Revolution agriculture yield,0.8,0.6,0.379746835443038,0.5150214592274679,49,100
BM25 + PageRank (alpha=0.15),24,Quantum computing future technology,0.2,0.1,0.11940298507462686,0.14953271028037382,37,100
BM25 + PageRank (alpha=0.15),25,Viking exploration North America,0.4,0.5,0.29333333333333333,0.3384615384615385,45,100
BM25 + PageRank (alpha=0.15),26,Roman aqueducts engineering innovation,0.4,0.2,0.10256410256410255,0.16326530612244897,48,100
BM25 + PageRank (alpha=0.15),27,Coffee history Ethiopia trade,0.8,0.5,0.30136986301369856,0.4378109452736318,43,100
BM25 + PageRank (alpha=0.15),28,Stonehenge prehistoric monument,0.8,0.9,0.43243243243243246,0.5614035087719298,44,100
BM25 + PageRank (alpha=0.15),29,Photography invention Daguerre,1.0,0.7,0.3888888888888889,0.56,42,100
